    wfc3_x        wfc3_y      wfc3_cts    slit_num        stis_x        stis_y 
120.541000    524.092000      4455.396           7      4.262000    471.875839 
163.198000    524.883000      1268.186          13     -1.081000    473.663377 
 77.533000    526.615000      1635.453           2      1.254000    474.873317 
125.620000    526.414000      8624.011           8      1.341000    474.102944 
177.495000    527.615000       372.577          15     -2.784000    476.269400 
 73.434000    528.423000      1809.874           2     -2.845000    476.681317 
145.642000    528.275000       620.351          11     -2.637000    475.679257 
153.945000    527.641000      6839.040          12     -2.334000    474.950361 
160.890000    527.532000      1980.864          13     -3.389000    476.312377 
 86.402000    531.265000      6710.248           3      2.123000    479.428422 
176.432000    531.906000       331.284          14      4.153000    480.623388 
 84.331000    538.721000      8044.866           3      0.052000    486.884422 
142.626000    541.401000       410.283          10      2.347000    488.900152 
157.258000    541.804000       529.925          12      0.979000    489.113361 
186.805000    544.675000      4736.347          16     -1.474000    493.266412 
172.510000    555.429000       179.409          14      0.231000    504.146388 
 85.342000    555.467000       247.305           3      1.063000    503.630422 
 79.735000    564.395000      1003.217           2      3.456000    512.653317 
130.464000    564.364000       832.199           9     -1.815000    511.958048 
168.848000    566.737000      1301.650          14     -3.431000    515.454388 
110.895000    570.562000       178.061           6      2.616000    518.440735 
183.243000    573.087000       316.252          15      2.964000    521.741400 
 69.734000    574.699000       159.594           1      1.455000    523.052213 
 89.423000    576.436000       765.511           4     -2.856000    524.504526 
166.834000    580.632000       131.736          13      2.555000    529.412376 
139.482000    582.252000       675.981          10     -0.797000    529.751152 
108.355000    586.657000       154.046           6      0.076000    534.535735 
136.485000    591.865000       137.466           9      4.206000    539.459048 
155.502000    600.433000       110.549          12     -0.777000    547.742361 
178.442000    610.389000       100.371          15     -1.837000    559.043400 
147.505000    616.597000      2009.795          11     -0.774000    564.001257 
152.914000    618.020000       885.572          12     -3.365000    565.329361 
174.287000    618.708000       215.178          14      2.008000    567.425388 
116.358000    624.398000       337.279           7      0.079000    572.181839 
